pos_id,petal_id,device_loc,pos_calib_index,time_recorded,bus_id,length_r1,length_r2,offset_x,offset_y,offset_t,offset_p,physical_range_t,physical_range_p,gear_calib_t,gear_calib_p,total_limit_seeks_t,total_limit_seeks_p,last_primary_hardstop_dir_t,last_primary_hardstop_dir_p,keepout_expansion_phi_radial,keepout_expansion_phi_angular,keepout_expansion_theta_radial,keepout_expansion_theta_angular,classified_as_retracted,site,calib_note,fiber_intact,device_classified_nonfunctional,petal_loc,location
M00436,3,117,208,2021-04-03 23:44:42.023011+00:00,can13,2.55174326853903,2.8597660471385,189.574402350861,50.4832942841113,170.450142375412,22.4299847040329,395.080909523493,192.573321757486,1.0,0.64,231.0,237.0,-1.0,1.0,0.0,0.0,0.0,0.0,True,kpno,"Push for reasonable scale factors and using these devices before 1% survey; set_calibrations.py; user KF; comment New scale factors to enable use during night time observations; input_file ../set_calibrations_tp_scales_20210402.csv; archive_ref DESI-6131; params {'DEVICE_CLASSIFIED_NONFUNCTIONAL': False, 'CTRL_ENABLED': True, 'GEAR_CALIB_P': 0.64}",True,False,3,3117
M01080,11,452,85,2021-04-03 23:44:42.000771+00:00,can14,2.95833024508703,2.96441587729455,341.416566968227,131.662329481845,112.076574552112,26.8439716960611,394.54121838269,187.915740122958,1.0,0.477,173.0,178.0,-1.0,1.0,0.0,0.0,0.0,0.0,True,kpno,"Push for reasonable scale factors and using these devices before 1% survey; set_calibrations.py; user KF; comment New scale factors to enable use during night time observations; input_file ../set_calibrations_tp_scales_20210402.csv; archive_ref DESI-6131; params {'DEVICE_CLASSIFIED_NONFUNCTIONAL': False, 'CTRL_ENABLED': True, 'CLASSIFIED_AS_RETRACTED': True}",True,False,6,6452
M01102,11,488,81,2021-04-03 23:44:42.000771+00:00,can16,2.9665723980787,3.02677002515144,373.086691608189,113.601078069176,-26.6975453945205,22.8278820706125,390.7584313165,186.986614192664,1.0,0.56,148.0,150.0,-1.0,1.0,0.0,0.0,0.0,0.0,True,kpno,"Push for reasonable scale factors and using these devices before 1% survey; set_calibrations.py; user KF; comment New scale factors to enable use during night time observations; input_file ../set_calibrations_tp_scales_20210402.csv; archive_ref DESI-6131; params {'DEVICE_CLASSIFIED_NONFUNCTIONAL': False, 'CTRL_ENABLED': True, 'GEAR_CALIB_P': 0.56, 'CLASSIFIED_AS_RETRACTED': True}",True,False,6,6488
M01133,8,492,95,2021-04-03 23:44:42.016878+00:00,can14,3.07155966375118,3.0767553331914,352.102981312635,149.695254170472,0.0,0.0,397.236512825068,191.1074961506,0.514666667,1.0,137.0,142.0,-1.0,1.0,0.0,0.0,0.0,0.0,True,kpno,"Push for reasonable scale factors and using these devices before 1% survey; set_calibrations.py; user KF; comment New scale factors to enable use during night time observations; input_file ../set_calibrations_tp_scales_20210402.csv; archive_ref DESI-6131; params {'DEVICE_CLASSIFIED_NONFUNCTIONAL': False, 'CTRL_ENABLED': True, 'GEAR_CALIB_T': 0.5146666670000001}",True,False,4,4492
M01276,11,247,82,2021-04-03 23:44:42.000771+00:00,can23,2.93741810287772,2.96050432853588,272.978651247793,68.4197588770361,132.003067801731,-2.07451084884241,391.379572764693,218.997760992343,1.0,0.6,348.0,367.0,-1.0,1.0,0.0,0.0,0.0,0.0,True,kpno,"Push for reasonable scale factors and using these devices before 1% survey; set_calibrations.py; user KF; comment New scale factors to enable use during night time observations; input_file ../set_calibrations_tp_scales_20210402.csv; archive_ref DESI-6131; params {'DEVICE_CLASSIFIED_NONFUNCTIONAL': False, 'CTRL_ENABLED': True, 'GEAR_CALIB_P': 0.6, 'CLASSIFIED_AS_RETRACTED': True}",True,False,6,6247
M01282,6,338,66,2021-04-03 23:44:42.015915+00:00,can15,2.80904336303055,2.92649114855621,331.80623745125,60.1474724542073,130.422330092557,15.9264060919818,391.63286126145,217.966468539415,1.0,0.68,213.0,220.0,-1.0,1.0,0.0,0.0,0.0,0.0,True,kpno,"Push for reasonable scale factors and using these devices before 1% survey; set_calibrations.py; user KF; comment New scale factors to enable use during night time observations; input_file ../set_calibrations_tp_scales_20210402.csv; archive_ref DESI-6131; params {'DEVICE_CLASSIFIED_NONFUNCTIONAL': False, 'CTRL_ENABLED': True, 'GEAR_CALIB_P': 0.68, 'CLASSIFIED_AS_RETRACTED': True}",True,False,2,2338
M01289,5,337,47,2021-04-03 23:44:42.005009+00:00,can15,3.22024836670128,3.11543574124736,335.845369342262,50.3037588625084,-99.649555353022,30.2582706492321,394.009695629799,208.392393835077,1.0,0.305,107.0,112.0,-1.0,1.0,0.0,0.0,0.0,0.0,True,kpno,"Push for reasonable scale factors and using these devices before 1% survey; set_calibrations.py; user KF; comment New scale factors to enable use during night time observations; input_file ../set_calibrations_tp_scales_20210402.csv; archive_ref DESI-6131; params {'DEVICE_CLASSIFIED_NONFUNCTIONAL': False, 'CTRL_ENABLED': True, 'CLASSIFIED_AS_RETRACTED': True}",True,False,1,1337
M01376,11,344,81,2021-04-03 23:44:42.000771+00:00,can22,3.0482383142648,3.00444126811481,299.218258787973,113.564030509324,-5.47859432784836,4.06692013991602,391.982626163398,202.288841296123,1.0,0.79,192.0,196.0,-1.0,1.0,0.0,0.0,0.0,0.0,True,kpno,"Push for reasonable scale factors and using these devices before 1% survey; set_calibrations.py; user KF; comment New scale factors to enable use during night time observations; input_file ../set_calibrations_tp_scales_20210402.csv; archive_ref DESI-6131; params {'DEVICE_CLASSIFIED_NONFUNCTIONAL': False, 'CTRL_ENABLED': True, 'GEAR_CALIB_P': 0.79, 'CLASSIFIED_AS_RETRACTED': True}",True,False,6,6344
M01405,9,492,71,2021-04-03 23:44:42.168708+00:00,can14,3.05771293808333,2.99003048116749,352.05036366252,149.740729108206,162.77356126945,-3.61466648759895,393.053561029668,187.824760694693,1.0,0.49,214.0,227.0,-1.0,1.0,0.0,0.0,0.0,0.0,True,kpno,set_calibrations.py; user KF; comment New scale factors to enable use during night time observations; input_file ../set_calibrations_tp_scales_20210402.csv; archive_ref DESI-6131; params {'GEAR_CALIB_P': 0.49},True,False,9,9492
M01468,8,121,67,2021-04-03 23:44:42.016878+00:00,can13,2.96441326931016,2.97989221054991,168.700295417313,86.6961538687887,-27.6546399909699,25.4451449936411,394.745440713392,188.769180526494,1.0,0.53,93.0,96.0,-1.0,1.0,0.0,0.0,0.0,0.0,True,kpno,"Push for reasonable scale factors and using these devices before 1% survey; set_calibrations.py; user KF; comment New scale factors to enable use during night time observations; input_file ../set_calibrations_tp_scales_20210402.csv; archive_ref DESI-6131; params {'DEVICE_CLASSIFIED_NONFUNCTIONAL': False, 'CTRL_ENABLED': True, 'GEAR_CALIB_P': 0.53, 'CLASSIFIED_AS_RETRACTED': True}",True,False,4,4121
