DEV_ID,LOCATION,XMIT,X_FP,Y_FP,SKYCAM,SKYCAM_IDX,T_INT,P_INT
M04529,461,1.2356683029189661,-95.70997275085294,-401.7593609056346,0,5,-43.05729842966328,131.2985941865948
M02956,501,1.0613749746047416,-42.35390711532008,-408.1404898732507,-1,-1,-78.76198981439683,134.10766845546604
M04133,1461,1.0665514517157952,158.04380799312653,-377.7602698982041,-1,-1,65.42564853518608,143.84156698858476
M03156,1501,0.6181374887069099,205.8247176875514,-352.70591511168277,0,9,-2.543042176078179,174.04206689028206
M04283,2461,1.0735758259884727,350.0938292512608,-214.3112091358312,0,8,62.22127894362065,174.61613478705894
M05607,2501,0.9096700282858557,373.28485733562644,-164.37454826233594,-1,-1,88.10379950611481,172.62138325290698
M04478,3461,0.9656470745186555,409.2057362412757,32.338760329668254,0,6,85.08300875621947,175.47679996098617
M03990,3501,1.007958586767052,398.62991588546595,86.36482592980298,-1,-1,106.04054167698578,173.121295391795
M01190,4461,0.0,,,-1,-1,,
M02792,4501,0.0,,,-1,-1,,
M01727,5461,0.30529722946143795,94.01895455676227,399.8928725218309,-1,-1,20.064793988791433,144.5820135330757
M06214,5501,0.10273343154162401,43.20937754607564,408.3043776130922,-1,-1,-87.1149111292038,119.41750639265663
M06009,6461,1.0581088215979124,-158.0655891650095,379.26413707421494,0,2,3.2697453566727677,166.20531586152197
M03767,6501,0.0,,,-1,-1,,
M03943,7461,0.8092568420023392,-350.1743661620339,214.3912974342261,0,7,19.54508681493087,177.61605422218503
M03159,7501,1.0900062890524476,-373.42467247284554,164.6689095304373,-1,-1,174.63872222647396,177.55758946808362
M02732,8461,1.2641929196016422,-409.69196374892255,-32.07210254427884,-1,-1,-136.96642272598038,174.82568388875507
M04583,8501,0.9848862048031093,-399.0485377252673,-86.48002235282041,-1,-1,18.104268438965665,178.67968469500954
M05070,9461,0.9715763899447304,-310.4911678254605,-266.55017608769157,0,0,78.08595444642296,143.12771127599407
M07601,9501,0.0,,,-1,-1,,
