DEV_ID,TYPE,ENABLED,PTL_ID,PTL_LOC,DEV_LOC,BUS_ID,CAN_ID,FVC_ID,SLIT_ID,BLOCK_ID,BLK_FIBER,FIBER
M01190,ETC,N/A,8,4,461,17,1190,8461,1,B20,,-2
M01727,ETC,N/A,10,5,461,17,1727,10461,7,B20,,-2
M02732,ETC,N/A,7,8,461,17,2732,7461,5,B20,,-2
M02792,ETC,N/A,8,4,501,17,2792,8501,1,B20,,-2
M02956,ETC,N/A,4,0,501,17,2956,4501,9,B20,,-2
M03156,ETC,N/A,5,1,501,17,3156,5501,3,B20,,-2
M03159,ETC,N/A,2,7,501,17,3159,2501,0,B20,F01,4001
M03767,ETC,N/A,11,6,501,17,3767,11501,4,,,-2
M03943,ETC,N/A,2,7,461,17,3943,2461,0,B20,F03,4003
M03990,ETC,N/A,3,3,501,17,3990,3501,2,B20,F02,2002
M04133,ETC,N/A,5,1,461,17,4133,5461,3,B20,,-2
M04283,ETC,N/A,6,2,461,17,4283,6461,6,B20,,-2
M04478,ETC,N/A,3,3,461,17,4478,3461,2,B20,F03,2003
M04529,ETC,N/A,4,0,461,17,4529,4461,9,B20,,-2
M04583,ETC,N/A,7,8,501,17,4583,7501,5,B20,,-2
M05070,ETC,N/A,9,9,461,17,5070,9461,8,B20,,-2
M05607,ETC,N/A,6,2,501,17,5607,6501,6,B20,,-2
M06009,ETC,N/A,11,6,461,17,6009,11461,4,,,-2
M06214,ETC,N/A,10,5,501,17,6214,10501,7,B20,,-2
M07601,ETC,N/A,9,9,501,17,7601,9501,8,B20,,-2
