busid,canid,motor_steps_P,motor_steps_T,move_time,nrows,posid,postpause,required,speed_mode_P,speed_mode_T,total_time,failed_to_send
can10,5826,"[0, 0, 0, 0, -4233, 10121, -10110]","[0, 0, -1079, 0, 0, -10121, 10127]","[0.0, 0.0, 0.10527777777777778, 0.0, 0.2805, 1.1245555555555555, 1.1252222222222223]",7,M05826,"[4720, 0, 0, 134, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",7.4896111111111106,False
can10,5817,"[0, 0, -2460, 0, 0, 0, 0, -1398, 10121, -10116]","[0, 0, 0, 0, 0, -15945, 0, 0, -10121, 10135]","[0, 0.0, 0.182, 0.0, 0.0, 0.9311666666666667, 0.0, 0.123, 1.1245555555555555, 1.126111111111111]",10,M05817,"[1337, 0, 0, 2509, 0, 0, 1, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",7.333,False
can10,5851,"[0, 0, 0, 0, 10886, 10121, -10113]","[0, 0, -5846, 0, 0, -10121, 10125]","[0.0, 0.0, 0.3701111111111111, 0.0, 0.6501111111111111, 1.1245555555555555, 1.125]",7,M05851,"[3415, 0, 0, 1174, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",7.859,False
can10,5828,"[0, 0, -3478, 0, 0, 0, 0, 3963, 10121, -10107]","[0, 0, 0, 0, 32230, 0, 0, 0, -10121, 10119]","[0, 0.0, 0.23855555555555558, 0.0, 1.835888888888889, 0.0, 0.0, 0.2655, 1.1245555555555555, 1.1243333333333334]",10,M05828,"[981, 0, 0, 1824, 0, 2641, 0, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",10.034944444444445,False
can10,6140,"[0, 0, 0, 0, 0, -274, 10121, -10105]","[0, 0, 12444, 0, 0, 0, -10121, 10117]","[0.0, 0.0, 0.7366666666666667, 0.0, 0.0, 0.06055555555555556, 1.1245555555555555, 1.124111111111111]",8,M06140,"[4211, 0, 0, 2328, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",9.584444444444443,False
can10,5900,"[0, 0, -6520, 0, 0, 0, 0, 0, 2323, 10121, -10125]","[0, 0, 0, 0, 0, -4425, 0, 0, 0, -10121, 10110]","[0, 0.0, 0.40755555555555556, 0.0, 0.0, 0.29116666666666663, 0.0, 0.0, 0.1743888888888889, 1.1245555555555555, 1.125]",11,M05900,"[1110, 0, 0, 3139, 0, 0, 2438, 0, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",9.810833333333331,False
can10,5843,"[0, 0, -2510, 0, 0, 0, -146, 10121, -10123]","[0, 0, 0, 0, -18322, 0, 0, -10121, 10123]","[0, 0.0, 0.18477777777777776, 0.0, 1.0632222222222223, 0.0, 0.05344444444444445, 1.1245555555555555, 1.1247777777777779]",9,M05843,"[1376, 0, 0, 1484, 0, 852, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",7.262111111111111,False
can10,5897,"[0, 0, -1507, 0, 0, 0, 0, 0, 2432, 10121, -10149]","[0, 0, 0, 0, 0, -6213, 0, 0, 0, -10121, 10120]","[0, 0.0, 0.12905555555555556, 0.0, 0.0, 0.39049999999999996, 0.0, 0.0, 0.18044444444444444, 1.1245555555555555, 1.1276666666666668]",11,M05897,"[1337, 0, 0, 3101, 0, 0, 2433, 0, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'creep']",9.824055555555555,False
can10,5899,"[0, 0, -3746, 0, 0, 0, 0, -4736, 10121, -10099]","[0, 0, 0, 0, 0, 1879, 0, 0, -10121, 10132]","[0, 0.0, 0.2534444444444444, 0.0, 0.0, 0.14972222222222223, 0.0, 0.3084444444444444, 1.1245555555555555, 1.1257777777777778]",10,M05899,"[1062, 0, 0, 2070, 0, 0, 1424, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",7.518111111111111,False
can10,5818,"[0, 0, -5422, 0, 0, 0, -1116, 10121, -10130]","[0, 0, 0, 0, 28229, 0, 0, -10121, 10123]","[0, 0.0, 0.3465555555555555, 0.0, 1.613611111111111, 0.0, 0.10733333333333334, 1.1245555555555555, 1.1255555555555556]",9,M05818,"[1102, 0, 0, 1595, 0, 302, 0, 0, 0]",True,"['creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'cruise', 'creep', 'creep', 'creep', 'creep']",7.3167777777777765,False
