busid,canid,motor_steps_P,motor_steps_T,move_time,nrows,posid,postpause,required,speed_mode_P,speed_mode_T,total_time,failed_to_send
can10,5129,"[0, 0, 2624, 10121, -10121]","[0, 0, 140, -10121, 10121]","[0, 0.0, 0.29155555555555557, 1.1245555555555555, 1.1245555555555555]",5,M05129,"[2548, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",5.088666666666667,False
can10,5473,"[-3051, 10121, -10121]","[1957, -10121, 10121]","[0.339, 1.1245555555555555, 1.1245555555555555]",3,M05473,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.588111111111111,False
can10,5151,"[0, 0, 2000, 10121, -10121]","[0, 0, -1391, -10121, 10121]","[0, 0.0, 0.2222222222222222, 1.1245555555555555, 1.1245555555555555]",5,M05151,"[2611, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",5.081888888888889,False
can10,5031,"[2965, 10121, -10121]","[-2074, -10121, 10121]","[0.32944444444444443, 1.1245555555555555, 1.1245555555555555]",3,M05031,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.5785555555555555,False
can10,5149,"[0, 0, -358, 10121, -10121]","[0, 0, 736, -10121, 10121]","[0, 0.0, 0.08177777777777778, 1.1245555555555555, 1.1245555555555555]",5,M05149,"[2333, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",4.663555555555555,False
can10,4157,"[0, 0, 2227, 10121, -10121]","[0, 0, -1145, -10121, 10121]","[0, 0.0, 0.24744444444444447, 1.1245555555555555, 1.1245555555555555]",5,M04157,"[2497, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",4.99311111111111,False
can10,5145,"[0, 0, 1891, 10121, -10121]","[0, 0, 136, -10121, 10121]","[0, 0.0, 0.21011111111111114, 1.1245555555555555, 1.1245555555555555]",5,M05145,"[2630, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",5.089333333333333,False
can10,2513,"[0, 0, -1187, 10121, -10121]","[0, 0, 525, -10121, 10121]","[0, 0.0, 0.1318888888888889, 1.1245555555555555, 1.1245555555555555]",5,M02513,"[2709, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",5.090166666666667,False
can10,5035,"[0, 0, -2228, 10121, -10121]","[0, 0, 1876, -10121, 10121]","[0, 0.0, 0.24755555555555556, 1.1245555555555555, 1.1245555555555555]",5,M05035,"[2498, 0, 0, 0, 0]",True,"['creep', 'creep', 'creep', 'creep', 'creep']","['creep', 'creep', 'creep', 'creep', 'creep']",4.994444444444444,False
can10,5144,"[-2090, 10121, -10121]","[3292, -10121, 10121]","[0.3657777777777778, 1.1245555555555555, 1.1245555555555555]",3,M05144,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.614888888888889,False
can10,2498,"[-1504, 10121, -10121]","[4413, -10121, 10121]","[0.49033333333333334, 1.1245555555555555, 1.1245555555555555]",3,M02498,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.7394444444444446,False
can10,5166,"[-791, 10121, -10121]","[-6160, -10121, 10121]","[0.6844444444444444, 1.1245555555555555, 1.1245555555555555]",3,M05166,"[0, 0, 0]",True,"['creep', 'creep', 'creep']","['creep', 'creep', 'creep']",2.9335555555555555,False
