POS_ID,POS_T,OFFSET_T,COMMIT_POS_T,COMMIT_OFFSET_T
M02767,195.71,178.76,True,True
M03346,195.18,-113.65,True,True
M03112,196.39,146.2,True,True
M08015,196.72,180.47,True,True
M07737,195.32,98.87,True,True
M03122,-196.18,92.05,True,True
M03287,196.99,165.23,True,True
M05264,197.23,51.6,True,True
M03710,196.35,-110.25,True,True
M04547,196.77,26.24,True,True
M03261,195.98,103.32,True,True
M03334,194.46,-58.32,True,True
M03285,195.46,-55.69,True,True
M03446,196.28,-74.11,True,True
M03630,196.57,-126.59,True,True
