POS_ID,ZENO_MOTOR_T,SZ_CW_T,SZ_CCW_T,COMMIT_ZENO_MOTOR_T,COMMIT_SZ_CW_T,COMMIT_SZ_CCW_T
M04515,TRUE,0.682,0.646,TRUE,TRUE,TRUE
M04635,TRUE,1,1,TRUE,TRUE,TRUE
M05703,TRUE,0.621,0.641,TRUE,TRUE,TRUE
M05831,TRUE,1,1,TRUE,TRUE,TRUE
M05928,TRUE,0.932,0.668,TRUE,TRUE,TRUE
M06612,TRUE,0.641,0.643,TRUE,TRUE,TRUE
M06666,TRUE,0.931,0.925,TRUE,TRUE,TRUE
M07364,TRUE,0.608,0.672,TRUE,TRUE,TRUE
M07367,TRUE,0.394,0.32,TRUE,TRUE,TRUE
M07403,TRUE,0.948,0.992,TRUE,TRUE,TRUE
M07498,TRUE,0.518,0.516,TRUE,TRUE,TRUE
M07499,TRUE,0.438,0.386,TRUE,TRUE,TRUE
M07502,TRUE,0.98,0.98,TRUE,TRUE,TRUE
M07525,TRUE,0.436,0.334,TRUE,TRUE,TRUE
M07737,TRUE,0.982,0.982,TRUE,TRUE,TRUE
M07801,TRUE,0.459,0.459,TRUE,TRUE,TRUE
M07843,TRUE,1,1,TRUE,TRUE,TRUE
M07955,TRUE,1,1,TRUE,TRUE,TRUE
M08015,TRUE,0.973,0.973,TRUE,TRUE,TRUE
M08143,TRUE,0.984,0.984,TRUE,TRUE,TRUE
M02712,TRUE,1.01,0.99,TRUE,TRUE,TRUE
M02718,TRUE,0.729,0.681,TRUE,TRUE,TRUE
M02767,TRUE,0.728,0.728,TRUE,TRUE,TRUE
M03060,TRUE,0.54,0.54,TRUE,TRUE,TRUE
M03112,TRUE,0.967,0.855,TRUE,TRUE,TRUE
M03141,TRUE,0.679,0.559,TRUE,TRUE,TRUE
M03262,TRUE,0.992,0.992,TRUE,TRUE,TRUE
M03293,TRUE,1,1,TRUE,TRUE,TRUE
M03330,TRUE,0.26,0.326,TRUE,TRUE,TRUE
