PETAL,DEVICE_ID,FLAG,NOTE,LBL_Status
2,M03120,NO_FIBER,Became Dim after installation,Fiber OK at LBL
2,M04283,NO_FIBER,Sky fiber,Sky fiber
2,M05607,NO_FIBER,Sky fiber,Sky fiber
2,M06489,DISABLE,Disconnected,Disconnected at LBL
9,M05070,NO_FIBER,Sky fiber,Sky fiber
9,M07601,NO_FIBER,Sky fiber,Sky fiber
9,M07416,DISABLE,Disconnected,Disconnected at LBL
9,M07763,DISABLE,Disconnected,Disconnected at LBL
0,M06783,NO_FIBER,Broken Fiber,Fiber Broken at LBL
0,M04529,NO_FIBER,Sky fiber,Sky fiber
0,M02956,NO_FIBER,Sky fiber,Sky fiber
0,M07369,DISABLE,Disconnected,Disconnected at LBL
0,M07500,DISABLE,Disconnected,Disconnected at LBL
1,M04133,NO_FIBER,Sky fiber,Sky fiber
1,M03156,NO_FIBER,Sky fiber,Sky fiber
5,M01727,NO_FIBER,Sky fiber,Sky fiber
5,M06217,NO_FIBER,Broken Fiber,Fiber Broken at LBL
5,M07163,NO_FIBER,Broken Fiber,Fiber Broken at LBL
5,M07373,DISABLE,Disconnected,Disconnected at LBL
5,M02905,DISABLE,Disconnected,Disconnected at LBL
3,M04478,NO_FIBER,Sky fiber,Sky fiber
3,M03990,NO_FIBER,Sky fiber,Sky fiber
3,M03294,NO_FIBER,Broken Fiber,Fiber Broken at LBL
3,M03757,DISABLE,Disconnected,Disconnected at LBL
3,M03966,DISABLE,Disconnected,Disconnected at LBL
3,M04243,DISABLE,Disconnected,Disconnected at LBL
3,M03972,DISABLE,Disconnected,Disconnected at LBL
3,M04792,DISABLE,Disconnected,Disconnected at LBL
3,M05018,DISABLE,Disconnected,Disconnected at LBL
3,M04744,DISABLE,Disconnected,Disconnected at LBL
3,M04588,DISABLE,Disconnected,Disconnected at LBL
3,M04316,DISABLE,Disconnected,Disconnected at LBL
3,M05439,DISABLE,Disconnected,Disconnected at LBL
3,M04138,DISABLE,Disconnected,Disconnected at LBL
