POSID,Theta_Lower_Limit,Theta_Upper_Limit,Phi_Lower_Limit,Phi_Upper_Limit
M00703,80.9,82.0,None,None
M01377,-106.3,-105.0,None,None
M01865,133.5,134.0,None,None
M03285,129.1,130.0,None,None
M02752,124.7,126.0,None,None
M03327,-51.7,-51.0,None,None
M03940,-170.3,-169.0,None,None
M03659,9.9,11.0,None,None
M02841,83.1,84.0,None,None
M03514,-157.9,-157.0,None,None
M03261,-30.3,-29.0,None,None
M03175,-185.3,-184.0,None,None
M03983,19.7,21.0,None,None
M03160,-101.9,-101.0,None,None
M03408,4.7,6.0,None,None
M03092,129.7,131.0,None,None
M03016,126.5,128.0,None,None
M03084,-115.3,-114.0,None,None
M03568,-57.3,-56.0,None,None
M03199,72.7,74.0,None,None
M03020,-48.3,-47.0,None,None
M03024,-174.9,-174.0,None,None
M03026,-108.5,-108.0,None,None
M03061,127.3,128.0,None,None
M03082,7.7,9.0,None,None
M03630,-172.7,-172.0,None,None
M03319,8.3,9.0,None,None
M03401,68.5,70.0,None,None
M03587,60.5,62.0,None,None
M03698,0.9,2.0,None,None
M03232,-110.7,-110.0,None,None
M03104,-34.7,-34.0,None,None
M03809,-167.9,-167.0,None,None
M03108,-45.1,-44.0,None,None
M03501,-111.9,-111.0,None,None
M03148,-169.7,-169.0,None,None
M03446,66.1,67.0,None,None
M03163,-111.5,-110.0,None,None
M03719,68.7,70.0,None,None
M03242,124.7,126.0,None,None
M03250,-52.3,-51.0,None,None
M03283,132.3,133.0,None,None
M03945,-52.9,-52.0,None,None
M03289,-102.1,-101.0,None,None
M03296,129.9,131.0,None,None
M03427,8.7,10.0,None,None
M03510,-49.1,-48.0,None,None
M03601,13.1,14.0,None,None
M03418,126.1,127.0,None,None
M03322,66.7,68.0,None,None
M03610,131.3,132.0,None,None
M03334,-119.9,-119.0,None,None
M03503,-61.9,-61.0,None,None
M03598,-112.5,-112.0,None,None
M03336,62.9,64.0,None,None
M03686,-172.1,-171.0,None,None
M03452,4.9,6.0,None,None
M03456,-176.3,-175.0,None,None
M03455,-109.7,-109.0,None,None
M03979,126.5,128.0,None,None
M03508,-53.3,-52.0,None,None
M03564,-110.1,-109.0,None,None
M04317,0.5,2.0,None,None
M03528,-168.9,-168.0,None,None
M03545,-118.9,-118.0,None,None
M03578,64.7,66.0,None,None
M03655,2.5,4.0,None,None
M03589,-45.1,-44.0,None,None
M03605,-171.9,-171.0,None,None
M03688,3.5,4.0,None,None
M03624,-180.1,-179.0,None,None
M04989,-48.5,-48.0,None,None
M04990,120.5,122.0,None,None
M04169,70.3,71.0,None,None
M03992,-53.9,-53.0,None,None
M03651,72.5,74.0,None,None
M03668,-0.9,0.0,None,None
M03684,-171.3,-170.0,None,None
M03694,-108.1,-107.0,None,None
M03697,2.3,3.0,None,None
M03712,36.3,37.0,None,None
M03721,68.1,69.0,None,None
M03742,68.5,70.0,None,None
M03871,130.5,132.0,None,None
