pos_id,petal_id,device_loc,pos_calib_index,time_recorded,bus_id,length_r1,length_r2,offset_x,offset_y,offset_t,offset_p,physical_range_t,physical_range_p,gear_calib_t,gear_calib_p,total_limit_seeks_t,total_limit_seeks_p,last_primary_hardstop_dir_t,last_primary_hardstop_dir_p,keepout_expansion_phi_radial,keepout_expansion_phi_angular,keepout_expansion_theta_radial,keepout_expansion_theta_angular,classified_as_retracted,site,calib_note,fiber_intact,device_classified_nonfunctional,zeno_motor_p,sz_cw_p,sz_ccw_p,zeno_motor_t,sz_cw_t,sz_ccw_t
M07500,4,99,37,2021-06-25 22:19:58.141833+00:00,can11,3.0,3.0,147.858786516822,86.7258874583043,-171.353444730801,-0.0246884407453649,393.524926191041,189.086810550465,1.0,1.0,169.0,175.0,-1.0,1.0,0.2,5.0,0.05,10.0,False,kpno,"New angles from front illuminated image. Removing circular keepouts and expanding regular keepout zones.; set_calibrations.py; user KF; comment well measured angles from front illuminated image so can use less conservative keepout; input_file 20210625_calib/front_illuminated_angles_new_keepouts.csv; archive_ref 6400; params {'KEEPOUT_EXPANSION_PHI_RADIAL': 0.2, 'KEEPOUT_EXPANSION_THETA_ANGULAR': 10.0, 'CLASSIFIED_AS_RETRACTED': False, 'KEEPOUT_EXPANSION_PHI_ANGULAR': 5.0, 'KEEPOUT_EXPANSION_THETA_RADIAL': 0.05}",True,True,,,,,,
M05797,4,68,46,2021-06-25 22:23:30.751757+00:00,can11,3.0,2.60098457202936,132.223795100526,59.5983985434825,78.8725208860037,5.91893075127621,391.122180408005,218.828044712965,1.0,1.0,94.0,97.0,-1.0,1.0,0.2000000029802322,5.0,0.0,10.0,False,kpno,"set_calibrations.py; user KF; comment previous attempt did not allow keepout expansions; input_file 20210625_calib/recalibration_95734_unretract.csv; archive_ref 6400; params {'KEEPOUT_EXPANSION_PHI_RADIAL': 0.20000000298023224, 'KEEPOUT_EXPANSION_THETA_ANGULAR': 10.0, 'KEEPOUT_EXPANSION_PHI_ANGULAR': 5.0}",True,True,,,,,,
M04529,4,461,15,2022-03-22 00:19:53.906052+00:00,can17,3.0,3.0,410.056685316399,32.2955896311027,0.0,0.0,390.491292314437,191.734726614151,1.0,1.0,100.0,103.0,-1.0,1.0,0.2,5.0,0.05,10.0,False,kpno,"set_calibrations.py; user DK; comment Set ETC fiber angles measured from special FVC images taken 20220317; input_file ETC-fiber-angles.csv; archive_ref DESI-6735; params {'POS_T': -43.057, 'POS_P': 131.299}",False,True,,,,,,
M07369,4,303,41,2022-05-08 06:46:41.202808+00:00,can23,3.0,3.0,288.673413234318,95.4754376920499,132.314006003059,-0.0392172524435637,391.389894456117,190.970228106488,1.0,1.0,87.0,90.0,-1.0,1.0,0.2,5.0,0.05,10.0,False,kpno,restored keepouts from cache file: /data/focalplane/fp_temp_files/keepouts_cache_petal_id_4.ecsv,True,True,,,,,,
M02956,4,501,17,2022-05-08 06:46:41.202808+00:00,can17,3.0,3.0,399.584505535965,86.5087846436672,0.0,0.0,389.511676366907,190.802073526892,1.0,1.0,102.0,105.0,-1.0,1.0,0.2,5.0,0.05,10.0,False,kpno,restored keepouts from cache file: /data/focalplane/fp_temp_files/keepouts_cache_petal_id_4.ecsv,False,True,,,,,,
M02691,4,486,55,2023-05-03 17:30:00.105000+00:00,can49,3.0072,3.0309,383.5461,95.5583,-104.63458167883,1.31152668995101,392.554285461724,188.7303834833,1.0,1.0,162.0,162.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M02780,4,518,53,2023-05-03 17:30:00.105000+00:00,can49,3.033,3.1083,389.114,122.703,151.033982926532,0.972824674374359,391.481508074337,191.61477258364,1.0,1.0,164.0,164.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M02791,4,485,53,2023-05-03 17:30:00.105000+00:00,can49,2.9816,3.1645,388.822,86.5231,-59.9637999438223,-3.42820617354319,391.107134255003,190.998689578066,1.0,1.0,164.0,164.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M02895,4,470,70,2023-05-03 17:30:00.105000+00:00,can49,3.061,3.0999,362.4538,113.6103,-34.3115505179501,2.47482827385483,391.819739384415,193.489798936579,1.0,1.0,170.0,171.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M03178,4,488,53,2023-05-03 17:30:00.105000+00:00,can49,2.9671,3.0456,373.0766,113.6288,135.155496285943,2.58596142025955,391.132283314961,192.429589480746,1.0,1.0,169.0,170.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M03522,4,507,53,2023-05-03 17:30:00.105000+00:00,can49,2.9981,3.0731,367.9168,140.7527,103.093822963381,1.98118497127923,392.665255066406,191.061804601939,1.0,1.0,162.0,162.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M03559,4,490,55,2023-05-03 17:30:00.105000+00:00,can49,2.9951,3.0261,362.5437,131.6901,27.1646537210253,1.01723356054552,392.657706240351,192.03735472644,1.0,1.0,162.0,162.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M03782,4,469,53,2023-05-03 17:30:00.105000+00:00,can49,3.0063,3.0438,367.6778,104.5664,-110.147024883633,-0.24784865566357,391.537712490766,193.806659503367,1.0,1.0,161.0,161.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M03839,4,505,57,2023-05-03 17:30:00.105000+00:00,can49,3.0181,3.0292,378.376,122.6763,-1.85851248973978,1.65489590998876,393.444686858909,189.89439807684,1.0,1.0,162.0,162.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M04014,4,519,53,2023-05-03 17:30:00.105000+00:00,can49,2.9612,3.0588,383.83,131.7533,-75.4020155073192,4.25445304055857,389.409061611184,198.947448609049,1.0,1.0,162.0,162.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M04015,4,504,56,2023-05-03 17:30:00.105000+00:00,can49,2.9736,3.0382,383.6371,113.6412,-34.3653503543646,1.59249414481679,391.227411215156,186.399234984149,1.0,1.0,162.0,162.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,True,,,,,,
M04135,4,503,55,2023-05-03 17:30:00.105000+00:00,can49,3.0354,3.0676,388.8968,104.6579,16.564697500457,0.418870779197685,392.099343673867,191.452307801434,1.0,1.0,162.0,162.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M04227,4,489,55,2023-05-03 17:30:00.105000+00:00,can49,2.9512,3.0336,367.8061,122.6487,-142.906386321082,1.64390951344306,392.733276283364,189.630714456446,1.0,1.0,162.0,162.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M04385,4,468,62,2023-05-03 17:30:00.105000+00:00,can49,2.9804,3.1041,372.9155,95.5645,146.299532925144,-0.464482480525305,395.141048391725,193.4711814052,1.0,1.0,148.0,148.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,True,,,,,,
M04469,4,520,53,2023-05-03 17:30:00.105000+00:00,can49,3.1675,3.1261,378.5692,140.7594,-37.5617791442243,-8.89156185739872,393.552239800607,186.603343791708,1.0,1.0,188.0,190.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M04635,4,502,70,2023-05-03 17:30:00.105000+00:00,can49,3.1817,3.0477,394.2133,95.5983,-126.434702236244,-11.8898884491379,390.095415731723,187.202722746109,1.0,1.0,152.0,151.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,True,,,,,,
M04663,4,487,53,2023-05-03 17:30:00.105000+00:00,can49,2.9858,3.0237,378.2964,104.6319,-121.438345952819,2.51856932637213,391.026369959462,192.827864107906,1.0,1.0,165.0,165.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M04928,4,521,53,2023-05-03 17:30:00.105000+00:00,can49,3.0832,3.107,373.3188,149.8031,32.5608654090065,-0.200856765720056,392.902508630791,190.148595765633,1.0,1.0,161.0,161.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M05188,4,449,53,2023-05-03 17:30:00.105000+00:00,can49,2.9897,3.0462,357.0996,104.5781,27.4975169716036,-0.189189846662985,391.174738283835,188.787843117861,1.0,1.0,162.0,162.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M05252,4,522,42,2023-05-03 17:30:00.105000+00:00,can49,3.0314,3.0687,368.0734,158.8231,-0.0606857825728184,2.02749162865868,390.92136227057,194.725108547675,1.0,1.0,174.0,175.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M05817,4,1,53,2023-05-03 17:30:00.105000+00:00,can30,3.0287,3.1385,38.6296,5.2296,-168.58970297507,1.16318170601552,390.763136786478,192.117780919284,1.0,1.0,165.0,165.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M05818,4,9,53,2023-05-03 17:30:00.105000+00:00,can30,3.0355,3.0179,64.6535,14.2783,77.3294177330244,-0.106862562671505,394.254192644927,186.439895089157,1.0,1.0,162.0,162.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M05819,4,17,55,2023-05-03 17:30:00.105000+00:00,can30,2.9908,3.0446,85.4511,14.2786,-52.71042790468,0.0168300616696062,393.922165279685,190.624391832851,1.0,1.0,162.0,162.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M05823,4,13,53,2023-05-03 17:30:00.105000+00:00,can30,3.0518,3.0483,75.0529,14.2591,18.0505950550559,-2.11070511894589,393.69300806104,188.165691223337,1.0,1.0,161.0,161.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M05826,4,0,53,2023-05-03 17:30:00.105000+00:00,can30,3.0398,3.075,28.2,5.257,-103.396303921764,1.08590519271587,390.294941719312,189.356279401107,1.0,1.0,166.0,166.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M05828,4,3,59,2023-05-03 17:30:00.105000+00:00,can30,3.0216,3.0286,49.0417,5.2565,-71.4436909521431,0.295211616486587,391.921488492793,186.342167739515,1.0,1.0,169.0,169.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M05843,4,6,53,2023-05-03 17:30:00.105000+00:00,can30,3.0468,3.0731,54.2227,14.2424,-151.777739025622,2.68156676760361,390.284770233088,190.645138842539,1.0,1.0,162.0,162.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M05851,4,2,53,2023-05-03 17:30:00.105000+00:00,can30,2.994,3.036,33.4478,14.2636,134.214686815575,-0.407626813852217,393.323490810101,185.030378657161,1.0,1.0,113.0,113.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M05878,4,24,53,2023-05-03 17:30:00.105000+00:00,can30,3.0557,3.1096,85.4912,32.3842,-133.442404178995,0.0681947023660886,393.704199958926,190.41281021001,1.0,1.0,161.0,161.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M05895,4,14,55,2023-05-03 17:30:00.105000+00:00,can30,2.8965,3.0481,69.8269,23.3252,-11.4601522533738,-0.30402348263978,394.59331721288,190.48029804311,1.0,1.0,162.0,162.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M05896,4,10,55,2023-05-03 17:30:00.105000+00:00,can30,3.0309,3.121,59.4443,23.3154,-159.214960506859,1.31338486098329,395.697816676953,189.947053359596,1.0,1.0,162.0,162.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M05897,4,7,53,2023-05-03 17:30:00.105000+00:00,can30,3.1242,3.0612,49.0298,23.3525,-29.6162699732158,3.90699981870194,395.07998564802,190.706633826977,1.0,1.0,161.0,161.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M05899,4,8,53,2023-05-03 17:30:00.105000+00:00,can30,3.0811,3.0536,69.8686,5.242,7.64015448885468,-3.17337642469736,392.711324075538,188.258772728594,1.0,1.0,166.0,166.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M05900,4,5,53,2023-05-03 17:30:00.105000+00:00,can30,3.067,3.0913,59.4382,5.2296,54.7388135423057,0.0561032966783447,394.495051042002,190.645386653932,1.0,1.0,163.0,163.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M05917,4,12,53,2023-05-03 17:30:00.105000+00:00,can30,3.1135,2.9992,80.2791,5.2171,166.028779585196,-0.767059384999996,390.466370066007,192.599328472261,1.0,1.0,165.0,165.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M05974,4,16,53,2023-05-03 17:30:00.105000+00:00,can30,3.0258,3.1062,90.703,5.2517,-83.7393219524871,3.97280850360961,394.012070844554,195.200405300149,1.0,1.0,116.0,116.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
M06011,4,30,55,2023-05-03 17:30:00.105000+00:00,can30,3.0179,3.0756,90.6337,41.4188,-143.492614197488,-3.40932163443052,391.983111307764,187.700512770368,1.0,1.0,163.0,163.0,-1.0,1.0,0.0,0.0,0.0,0.0,False,kpno,Fix formatting of BUS_ID,True,False,,,,,,
