POS_ID,KEEPOUT_EXPANSION_THETA_RADIAL,KEEPOUT_EXPANSION_THETA_ANGULAR,KEEPOUT_EXPANSION_PHI_RADIAL,KEEPOUT_EXPANSION_PHI_ANGULAR,COMMIT_KEEPOUT_EXPANSION_THETA_RADIAL,COMMIT_KEEPOUT_EXPANSION_THETA_ANGULAR,COMMIT_KEEPOUT_EXPANSION_PHI_RADIAL,COMMIT_KEEPOUT_EXPANSION_PHI_ANGULAR
M03940,0.0,0.0,0.0,0.0,True,True,True,True
M05052,0.0,0.0,0.0,0.0,True,True,True,True
M05439,0.0,0.0,0.0,0.0,True,True,True,True
M02792,0.0,0.0,0.0,0.0,True,True,True,True
M03966,0.0,0.0,0.0,0.0,True,True,True,True
M04990,0.0,0.0,0.0,0.0,True,True,True,True
M04060,0.0,0.0,0.0,0.0,True,True,True,True
M07763,0.0,0.0,0.0,0.0,True,True,True,True
M03601,0.0,0.0,0.0,0.0,True,True,True,True
M04556,0.0,0.0,0.0,0.0,True,True,True,True
M03454,0.0,0.0,0.0,0.0,True,True,True,True
M01719,0.0,0.0,0.0,0.0,True,True,True,True
M02060,0.0,0.0,0.0,0.0,True,True,True,True
M03983,0.0,0.0,0.0,0.0,True,True,True,True
M04195,0.0,0.0,0.0,0.0,True,True,True,True
M04711,0.0,0.0,0.0,0.0,True,True,True,True
M05053,0.0,0.0,0.0,0.0,True,True,True,True
M04478,0.0,0.0,0.0,0.0,True,True,True,True
M01282,0.0,0.0,0.0,0.0,True,True,True,True
M02668,0.0,0.0,0.0,0.0,True,True,True,True
M04078,0.0,0.0,0.0,0.0,True,True,True,True
M04529,0.0,0.0,0.0,0.0,True,True,True,True
M05062,0.0,0.0,0.0,0.0,True,True,True,True
M04989,0.0,0.0,0.0,0.0,True,True,True,True
M03767,0.0,0.0,0.0,0.0,True,True,True,True
M04389,0.0,0.0,0.0,0.0,True,True,True,True
M04744,0.0,0.0,0.0,0.0,True,True,True,True
M04270,0.0,0.0,0.0,0.0,True,True,True,True
M03493,0.0,0.0,0.0,0.0,True,True,True,True
M06214,0.0,0.0,0.0,0.0,True,True,True,True
M04217,0.0,0.0,0.0,0.0,True,True,True,True
M02433,0.0,0.0,0.0,0.0,True,True,True,True
M06489,0.0,0.0,0.0,0.0,True,True,True,True
M02547,0.0,0.0,0.0,0.0,True,True,True,True
M03599,0.0,0.0,0.0,0.0,True,True,True,True
M01190,0.0,0.0,0.0,0.0,True,True,True,True
M03160,0.0,0.0,0.0,0.0,True,True,True,True
M03554,0.0,0.0,0.0,0.0,True,True,True,True
M05066,0.0,0.0,0.0,0.0,True,True,True,True
